text,sentiment
She! Shayad ye hamari pehli galti thi. Sab itne cool nahi hain jitne tum (brown nose moment).,negative
Internet aaj bahut slow ho raha hai..,negative
Grocery lene gaya tha... keemat badh rahi hai. Petrol 10 cents badh gaya $2.49... #TCOT,negative
SpongeBob dekh raha hoon.,neutral
Bilkul! Looking forward to it.,neutral
"Oh gaha nahi, bilkul offend nahi hua. Kyun hota? Main kabhi tumhare liye bajana pasand karunga.",positive
Migraine se lad raha hoon. Medication almost kaam kar raha hai.,positive
Beach ke liye bahut thand hai. Sucks.,neutral
3 saal ke preschooler ka Picture Day. Light blue striped button-down aur kahkis. Wonder karta hoon jab main usse 3 ghante mein uthata hoon toh wo kis color mein hoga.,neutral
Main yeh sawal apne aap se hamesha poochta hoon.,neutral
Twitter par swagat hai... Der se aaye durust aaye!,neutral
"Talware sabko sexy banati hain. Oh, Harold.",positive
"Mera club card aur photo aur maine world hunger ko cure kiya! Aur sona banaya! Yeh cheez awesome hai! Tumhare paas tumhara nahi hai, bechara.",neutral
Yeh Twittername TwitterFridge se host kiya gaya hai. Humein email karo agar tumhe Fridge khulwana hai. Check: www.twitterfridge.com,neutral
Rove ke liye excited hoon aaj raat! Jennifer Garner aur Gina Riley!,positive
Main definitely karunga. Agar koi room se ek second ke liye bahar jata hai toh usse follow karna padta hai. Otherwise bahut great dog hai ab tak.,positive
Apne baal karane ja rahi hoon shortly! Aur umeed hai sab kuch thik jaa raha ho apne friend ke surgery ke waqt.,positive
Mujhe sach mein ek golden retriever chahiye. Lekin mujhe nahi lagta ki main aise ghar mein rahunga jahan wo 10 saal tak bhaag sake.,neutral
Feel better! C teething kar rahi hai poore hafte aur yeh rough raha hai...,neutral
Working technology! I love you WAZ!,positive
Main phir se down feel kar raha hoon. Kaash apne problems kisi ke saath share kar pata...,negative
Patricia ki dress achi lag rahi hai.,positive
Urban think fail. Chai latte wahan achi nahi hai.,negative
Jab se main Miami aaya hoon tab se har din baarish ho rahi hai...,neutral
Ek .docx file apni virtual system par kholne ki koshish kar raha hoon jab main dryer ke neeche hoon. Lekin usme sirf Office 2007 hai.,negative
Haan! Woh achhi idea lag rahi hai. Message mujhe LJ pe karo iske baare mein.,positive
Chocolate milk aur Subway. MMM.,neutral
"Tweet ****? Main 10,000 tweets tak pahunch gaya hoon.",positive
Main sorry hoon thoda late ho gaya. LOL ye achha lag raha tha waise ;),neutral
"Tumhe standards rakhni padti hain Alice, warna hum kahan hote? Tumhe zindagi ka maza lena chahiye, zindagi isi ke liye hai.",positive
Tumhara window ledge sahi tareeke se decorate kiya gaya hai. Mujhe pasand hai.,positive
Goodnight everyone.,positive
"Mujhe nahi pata kyun main itna hyper hoon, har jagah jump kar raha hoon. Ugh, bas Friday hone do, Sweeney Todd phir Cinco de Mayo, mujhe un parties se pyaar hai.",negative
Subah. School ka time. (: Seekhne ka time!,positive
"Long aur hard party ki... Goodnight Twitter, subah milte hain.",positive
Bed. Stomach ache ke saath.,negative
Ek aur final.,neutral
"July 8th flight land hoti hai, mera dost yahaan jaldi ghar jaane ki baat kar raha hai, toh main akela hoon.",neutral
"YAY! Thanks for the #followfriday. #FAILFriday abhi bhi jeet raha hai, waise.",neutral
Mera computer stupid behave kar raha hai aur mujhe vote nahi karne de raha. Agar kar pata toh main tumhare liye vote karta.,negative
Mujhe tumhari yaad aa rahi hai! Stupid work!,negative
"Fuel le raha hoon, buri baat hai koi ye nahi padh raha!",negative
"KH wo akeli cheez hai jiske liye main weeaboo ban jaunga. Main abhi bhi English prefer karta hoon lekin main impatient hoon, haha.",negative
Main itne saare naye aur achhe gaane ka intezaar kar raha tha about the end but mujhe itna pasand nahi aaya.,neutral
Wo awesome lag raha hai...,positive
Kya ye? main wo lene ja raha hoon.,neutral
Aaj sab kuch irritate kar raha hai.,negative
http://tinyurl.com/64ozr7 :: from Ate Kaila Ocampo of the.rainbowholic.me&&eerie-silence.net,neutral
Day 26 kaise ek achhe budget video (imma put it on her) se low budget video (Stadium Music) par chale gaye? Unka end kareeb ho sakta hai.,negative
Mujhe lagta hai tum aur Tamera ka apna show hona chahiye... CW ya ABC family tumhe appreciate nahi kar rahe jaise karna chahiye.,negative
Haan wo bhi.,neutral
Full time kaam karte hue Twitter par aane ka time nahi mila!,neutral
"Koi baat nahi. Unfortunately, mujhe lagta hai ki ye kuch tha jo mujhe khud sort out karna pada.",neutral
Abhi bhi bimar. Sigh.,negative
"Wooo kya fight thi!!! Goooo Vicky, main tumhare saath hoon.",positive
"Tum dono hilaaaaarious ho, mujhe pasand hai. Vernae, tum kahan thi?",positive
**** meri zindagi.,negative
Bills pay kar diye. Humein ek aur mahina ke liye paani aur bijli milegi. Woot.,neutral
"10pm aaj raat, International Space Station Texas ke upar hoga kam se kam.",neutral
http://twitpic.com/672s3 - Subah uthkar yeh dekha... bed se uthna nahi chahta tha.,neutral
Khatam! Ghar ja raha hoon dinner khane aur raat ko kya karna hai sochne ke liye.,neutral
Accomplished feel kar raha hoon!!! Aaj bahut kuch kar liya! http://plurk.com/p/stns9,positive
16 din bache hain shift karne ke liye!,neutral
Aaj kal hawa mein kuch ajeeb hai. Sabko on edge kar raha hai. Ghar ka achha smudging karne ja raha hoon. Waise bhi yeh achha hota hai.,positive
Omgggg!! Hawaii!! Yeh amazing hai!! Mujhe wahan rehna hai.,positive
Main bhool gaya tha ki maine apna iTunes play count se display karne ke liye set kiya tha raat ko. Samajh nahi aaya kyun Taylor Swift Belinda ke aage thi. Haha.,neutral
"Brody, BF kya hai? Yeh glue hai?",neutral
"Alkaline Trio sweet tha, Saves the Day bekaar tha. Lekin maza aaya phir bhi. Sabko dekhkar aur hangout karke acha laga.",positive
Main 17 Again dekhne ja raha hoon. Bahut time se dekhna chahta tha.,neutral
Main Kill Bill Vol. 1 ko absolutely love karta hoon!!! Mujhe lagta hai Lucy Liu bahut gorgeous hai!!!!,positive
"By_spork, haha mujhe waise bhi pasand hai, halanki pic mein spork ko miss kar raha hoon... wo kahan gaya?",positive
Ohay clean teeth.,positive
"Well, main ab ja raha hoon. Goodbye sab.",neutral
"Kahan ja rahe ho, Paris?",neutral
"Main jokes aur logo ka mazak udaane aur ek doosre par songs, movies, aur shows ke ideas throw karne ko miss karta hoon. Wo kabhi nahi jayega...",negative
Ye bilkul tum jaisa hai!,neutral
"Also, HAPPY STAR WARS DAY!!!",positive
Good morning Twitterville. Work ke liye ja raha hoon...baad mein chat karte hain.,positive
Mujhe apne computer mein game ke liye space banani padhegi. Main Sims 3 ke minimum requirements meet nahi karta abhi.,neutral
Main yaad rakhunga agar maine apne west coast stint mein ek LA leg add karne ka socha.,neutral
San Antonio Missions game pe waitressing. Bada crowd nahi. Matlab slow game.,neutral
Well... Mujhe jaane se nafrat hai... lekin mujhe sona padhega! Goodnight sab aur baad mein chat karte hain! Enjoy my li`l night owls!,positive
Kuch achhi jagah mili lekin shayad mujhe safe play karna padhega aur 2 saal wait karna hoga jab tak meri car paid off nahi ho jaati.,neutral
Hum Moleskine notebooks worldwide ko protect karna chahte hain. Bas itna hi.,neutral
Biwi ke saath shopping ke liye Tesco`s jaane wale hain. Mujhe pata tha mera din theek jaa raha tha.,positive
Morning sabko. Lagta hai mere sar mein dard hai. Shayad pork scratchings ka dinner achha idea nahi tha.,negative
"2008 sorry mat kaho, tum charity ke liye race kar sakte ho ya sirf maza ke liye. Main yeh fun ke liye karta hoon.",positive
"Haha tumne meri macbook ya mere 24`` imac ko us pic mein nahi dekha, toh extra jealous feel karna lolll.",negative
"Wait nahi ho raha. Tumhare scripts ko love karta hoon. Honestly, tumhara future career script writer ke roop mein hona chahiye.",positive
Hey! Late reply ke liye sorry. But main facebook aur twitpic dono pe post karne ka plan banata hoon.,negative
Apne iPhone ke liye chhoti si cover banayi. Birds peeche upside down nahi hain. http://twitpic.com/67tp9 & http://twitpic.com/67to5,neutral
#followfriday dhanyavaad! Main abhi bhi apne jitna paas nahi hoon.,positive
Please check out www.mysweetebony.com aur mujhe batao kya sochte ho... meri pehli paysite... apni site bhi post karo!,neutral
Kaam shandar tha.,positive
Done a bump out and now back in bed seemingly unable to muster the energy to get up again. Sundays great hain.,neutral
"Orlando ke pool pe hoon, naye kicks liye. Kal Seaworld jaane wale hain, apne best friend ko miss kar raha hoon.",negative
"Mere essay ka plan likh liya. Ab kuch references dhoondh raha hoon, phir likhna shuru karunga.",neutral
Father ghar pe reh raha hai aur conference calling. Sorry.,negative
Hospital toilets mein sinks itne low kyun hain? Ab mere grey suit ke **** pe paani ka chhidak gaya! Physio ke time pe.,negative
SNL w/ Justin Timberlake.,neutral
Mujhe tumhari crazy aur witty humor pasand hai!,positive
"Dedicated server ke liye $221/mo pay kiya. Slice lena prefer karta, lekin main MS SQL use kar raha hoon.",neutral
Well best of luck.,positive
"Haan, maza aaya aaj...main regret karta hoon wo cup nahi lena...wo awesome tha...mujhe ab waise hi ek aur milna hai.",positive
"Rice aur fried chicken khane ja raha hoon from sederhana, padang restaurant! Yummy!",positive
"Mere paas WII bhi nahi hai! B ko Xbox pasand hai, toh wahi hai. Tum use karte ho?",positive
Ughhhh.... sad day.,negative
"Kaash aaj sunny day hota, toh bed se uthne ki himmat hoti! ..Up the blues.",negative
Kaash uski biwi ne debit card apne paas rakha hota jab wo lamba walk karne gaya lunch ke liye aur baad mein nahi. GRRR!,negative
Woh kaise spoiled hai? Wo sirf 10 ya 11 ki hai? Uske liye 14m logon ke samne aana hard tha. Wo bahut young hai.,negative
"Ada_Franco main wapas kaam kar raha hoon! Woo hoo! Afsoos, main tumhari beti ke liye Elita-1 nahi le paya. Ye $80 ka hai!",neutral
Wo great news hai.,positive
School aur jo ladka mujhe pasand hai wo us ladki se baat kar raha tha jo mujhe bilkul nahi pasand! Log kitne...ughhhh!!,negative
Pehle se hi hangover feel kar raha hoon. Bahut worth tha.,positive
Cleaning time soon.,neutral
Wo July mein 3 ka hoga! Main bahut stoked hoon!!!! Especially jab wo humare saath sota hai LOL. Wo diapers pehenne se inkaar karta hai ab.,positive
Low low low low low low low low low.............................,neutral
Monk Neither are ELP!!,neutral
Henrie main tumhare jooton mein hona pasand karunga instead of bed bc main kal 10-9 kaam karta hoon. Mujhe cold weather pasand hai.,positive
_Am_umlaut oh no! Mujhe bahut afsos hai.,negative
"Ghar wapas phir se .. bachon ko naha rahe hain, pati ke kapde iron kar rahe hain .. bhatije ki graduation aaj raat hai! Yaad hai jab woh 2 saal ka tha!",neutral
"Khush hoon ki bahar gaya, khush hoon ki jaldi wapas nahi aaya, aur khush hoon ki Beth ke yahan afterparty mein tha. Main wapas aa gaya!",positive
Message kar raha hai.,neutral
Sar dard ho raha hai.,negative
"School ja raha hoon apne high school ka aakhri Friday! Aur main Holly, Gabbie aur Hannah se nahi mil paa raha.",negative
YouTube check kar lo.,neutral
Main nahi kar pa raha.,negative
Na clubs...na parties...maine apni Friday aur Saturday raat music pe kaam karte hue bitayi aur main bilkul khush hoon.,neutral
Wah kya zor ki baarish hui yahan Santa Clara mein. Sona chahta hoon par ek important meeting attend karni hai.,negative
Woh jawab nahi dega.,neutral
Post-prom pe GPS jeeta.,positive
Apni favorite movies Sparkle dekh raha hoon + baad mein khana lene jaaunga!,positive
"Hey, yeh mera Bug hai! Aur meri martini glasses bhi . . .",neutral
"Jin logon ka dil is waqt thoda aur toot jaata hai, yaad rakho tumse pyar kiya jaata hai aur agla hafta ek naya hafta hai.",neutral
Sach mein mar gaya? Descanse em paz... #luto #sad #RIP,negative
LOL...Mujhe lagta hai yeh kehna safe hai ki hum apni soch mein akela nahi hai!,positive
"Yo, agar tum log road trip pe jaana chahte ho toh mujhe Warsaw mein contact karo ya phir intezar karo Taipei tak.",neutral
John ke saath shandar weekend bitaya-back to work 3 din ke liye phir Thursday & Friday ko Illinois jaa raha hoon John ke saath aur gigs ke liye.,positive
"'The things, you say, your purple prose just gives you away' iska kya matlab hai? Casino: jahan music mar jaata hai.",negative
"Dreamwidth, ek naya journaling site jo abhi open beta mein hai.",neutral
Florida acchi jagah hogi.,positive
Mujhe lagta hai mujhe thand lag rahi hai.,neutral
"Bec vs junk food --- winner = junk food par is weekend nahi, is baar main jeetunga!",neutral
Main udaas hoon Twits! Main Musiq Soulchild aur Anthony Hamilton ko miss karunga! Ugggghhhh mujhe unse pyar hai!,neutral
School mein hoon. Blagh. Yay August mein iPhone mil raha hai!!,positive
"Kaun hamesha kaam karta hai? Oh haan, ab bhi main.",neutral
Oh.... great. Lagta hai main bimaar ho raha hoon.,neutral
"Awe mujhe afsos hai, shayad sahi.",positive
Mujhe nahi pata main peena chahiye ya nahi...,neutral
Kya tum sach mein jaana chahte ho? Yeh hai http://bit.ly/AUuAC - mujhe bhaagne ka mann karta hai. Aur news mein: Happy Star Wars Day!,positive
Abhi swimming se nikal gaya! Jaldi hi mujhe dhoop se dur rehna padega.,neutral
Aaj do naye logon ke Australian citizens banne ka jashn mana rahe hain. Mujhe achhe dinner ki umeed hai.,positive
Hey baby? Kahan ho tum?,neutral
Soch raha hoon prom jaaun ya nahi jab main apni 80’s playlist sun raha hoon. 'Kuch keh raha hai yeh shayad tum hi ho!' Stephen bishop.,neutral
"Ghar pe akela ek Friday raat ko, isse udaas kuch nahi ho sakta.",negative
Wapas purani Melbourne town mein hoon....,neutral
"_Beez - Main 20% hetero-challenged hoon, par 'Milk' pasand nahi aayi... mujhe boring lagi.",negative
Main apne baalon ke saath bura bartav karta hoon. Yeh uska badla hai ki woh jaldi grey ho gaye.,negative
"Haan, woh great hain. Mujhe lagta hai hum unhe aane wale saalon mein aur sunenge.",positive
Thanks for the advice! Doctor ke paas gaya aur kal bahut soya Meds ki wajah se hoga.,positive
http://twitpic.com/4wkzi - prom ke pehle. Yehi se sab chaos shuru hua.,negative
Main itna gussa hoon main nahi jaa sakta...tum mujhse ek ghante door ho.,negative
Mozart Requiem aaj raat.,neutral
Purane achhe din yaad aa rahe hain!,negative
Mera birthday ek hafta baad hai!,neutral
Aaj ek normal din hota toh main kaam se already free ho gaya hota...Unfortunately aaj normal din nahi hai. Matlab main office mein late tak rahunga.,negative
"Kal raat lambi drive ke baad, achhi neend aayi, ab Dino's Wasstraat ka time.",positive
Kaash tum logon ne yeh video pe record kiya hota.,positive
Cool. Main bhi firse dekhna chahta hoon. Mujhe JB ke liye bura lagta hai kyunki wahan zyada log nahi the.,neutral
Haha! Go Martin! Usne hamara Ski million baar fix kiya.,positive
"Noooo mera favorite coworker ab nayi job pe ja raha hai, ab woh Marc Jacobs shows kar raha hai, not fair! Main nahi chahta woh jaye!",negative
Mera BFF abhi Hotel California baja raha hai. Koi naye gaane! kuch bhi same nahi rehta. Agla kya? Hmmm.. Careless whisper!,negative
Nice one.,positive
Haan par jab hum karte hain toh unhe bura lagta hai...silly boys.,negative
"Waise, short notice hai pata hai, par hum aapke party ke liye RSVPing no kar rahe hain- invitation ke liye thanks! Main aaj raat ke liye bhi out hoon.",positive
Main sorry hoon par LOL! Yeh kya hai? Ruko...tumhe lagta hai tumhari mum tumhe is weekend birthday stuff karne degi?,neutral
Hey tum ****!! Yeh thoda mean nahi hai?!,negative
_Houdin blind faith. Yeh ek crack-up hai.,negative
Aaj dupahar ka kaam hai.,neutral
Kitna inconsiderate!,negative
Agar Bee nahi hai toh main bhi nahi hoon...ya suna mujhe? {yeh tumhare liye keemie},neutral
Main bardasht nahi kar sakta.,negative
Kya?? Vishwas nahi ho raha.,negative
"NOOOOO! Serena aur Darrian ek dusre ko nahi yaad karte, aur main sara din intezaar kar raha tha unke pyaar ka izhaar dekhne ke liye.",neutral
BS mein degree le li.,positive
", Bas ek article padha ki IPs kharidne ka matlab zaroori nahi developement teams ko lena. Kya iska matlab?",neutral
Raat ko meri fellow tweeters goodnight keh raha hoon apne ipod mein westlife sunne ja raha hoon unhe miss kar raha hoon phir so jaunga jaldi start 7am x.,neutral
Thanks!!! Yeh ek ballroom dancing competition tha.,positive
Main concur karta hoon! Yeh aaj ke to-do list pe priority hai http://twitter.com/karasw/status/1695368792.,positive
"Ohh shardup! hehe. Woh hot hai, maanana padega! Bleh.",neutral
Mere dad achhe mehsoos nahi kar rahe. Main unke liye soup banana chahta hoon. Suggestions guys? + get well soon ayah.,negative
Hockey games ke dates confused the woh agle hafte hain.,negative
"Chalo, bas mere holidays ka ek hafta bacha hai, sad sad.",negative
Chhote sheher ke bar mein karaoke. Mazedaar waqt bita raha hoon!,positive
"Main Eurovision ki parwaah karta hoon! Aur haan, is saal 50% jury-based vote hai #eurovision2009.",positive
Ghar pe banaye gaye paranthas breakfast ke liye kuch nahi.,positive
"Hey bettiye, main ne use dekha. Videos aur blog ke liye tuned raho kaise Obsessed tha?? Exams ke baad dekhunga.",neutral
_West aur music se mera matlab awesome Christian artists tha.,positive
Kripya uske liye sympathy se vote mat karo! #BGT.,negative
Mujhe woh birdy nest pasand hai! Par main humare liye doosra type le aaya.,positive
Miss kar raha hoon lol. Plaid bud. haha. **** main BG sahi nahi kar paa raha.,negative
Ab kuch karne ja raha hoon Pu+ !+ 0n M3.,neutral
"Agar tum log aisa keh rahe ho, main tum par bharosa karta hoon.",neutral
Oh haan... sabhi moms ko happy Mother's Day aur mere dost ke moms ko bhi.,positive
"Woh colleague jisne apne unit ke site ko iWeb mein create karke 'help' kiya, helpful nahi tha. Trash code, 4 page site ke liye 24 CSS files, no optimization.",negative
Haha wow wahan ek gaana hai 'Hit me on Twitter' lmao. Theek hai g'night.,positive
Jay Leno ka ek aur show baaki hai as the host of The Tonight Show.,neutral
"Main Coke machine ko galat press kar diya, ab Diet Pepsi pe raha hoon Diet Dr. Pepper ki jagah. Kaash machine error correction use karti!",neutral
Zaroor cuddle karna chahta hoon shayad khelna par koi nahi hai jo mere saath kare bc door hai.,negative
Kaam pe ja raha hoon ab apparently suraj chamak raha hai valid excuse nahi ghar pe rehne ka.,neutral
"Main kal tak grounded hoon. Koi jo bhi plan kiya tha, sorry. Kal hoga. (annoyed) http://plurk.com/p/x332r.",negative
Apni favorite movie dekh raha hoon...Two Can Play That Game! 'Kabhi notice kiya hai ki aadmi basant ke time mein zyada act up karte hain?' Shante Smith.,positive
Umeed karta hoon mere roommates ka subah achha ho bina TP aur soap ke!,positive
"Nahi, main US mein hoon weekend ke liye UK nahi.",neutral
Haan... mere password bhi change ho gaya... main apne FB mein login nahi kar paa raha tha cahnge kar diya pw phir se ...ufff.,neutral
Yus! :3 woh bahut accha tha.,positive
Broke hoon us din Guitar Hero Metallica aaya! Boooooooo.,negative
Mere followers tumse zyada hain. Main tumhari tarah cool banna chahta hoon. Use follow karo taaki kabhi aisa na ho.,neutral
Aaj apna recording studio revamp kar raha hoon aur kuch high-end outboard gear add kar raha hoon...bahut excited hoon!,positive
"Aaj NZZ aur Economist subscriptions cancel karna pada office mein #costsavings. Luckily, inke online versions bhi hain.",neutral
"Apne desk ko saaf karte hue, mujhe teen mahine purani betting slip mili. Maine das pound lagaye the #newcastle ke relegation pe. Ab paisa mil gaya.",neutral
"Bahut thaka hua hoon, **** it`s sunny.. achha din? deffff.",neutral
Itna obvious hai ki Holly public vote se seedha jayegi.. SOOO obvious. Phir Aidan aur Greg judges ke liye par dono ko nahi jaana chahiye.,negative
"Ab itna awesome nahi hai, huh? LOL",neutral
"Thank a Chu?t Ã¯Â¿Â? Ch?c v?y quÃ¯Â¿Â?, hik, ch?c em ph?i ?i h?c 1 khÃ¯Â¿Â?a ph? c?p ki?n th?c c? khÃ¯Â¿Â? g?p =.=",neutral
Hmmm Essense awards mazedaar honge... par mehngay bhi.,positive
Wednesday ko Down Syndrome Indiana mein volunteer kar raha hoon.,positive
Mujhe meri Katie chahiye.,neutral
Filipino mein agar tum kaho 'Nakuh grabeh!' toh yeh OMG ke jaisa hai.,neutral
"Kabhi kabhi main sochta hoon kaash main ladka hota, kahin bhi khade ho kar susu kar sakta, aur apni chest ko scratch kar sakta, par iske badle? yahaan ek breast hai hah.",neutral
Yeh utna mazedaar nahi hai jitna tum sochte ho... main ek hafte tak dard mein tha aise hi experience ke baad.,negative
Good Morning.,negative
"Death jaisa feel ho raha hai, evil headache hai aur pack karke parents ke ghar jaana hai. Bum.",positive
Apparently aaj Star Wars Day hai - so May the 4th be with you http://tinyurl.com/axsujx.,negative
"Maine socha follow friday naye friends banane ke liye hota hai, unhe khona nahi.",neutral
Tumhari is sundar Island pe aane ka kya maksad hai aaj?,neutral
Sar mein dard shuru ho raha hai!!!! Uuuggghh!!!,neutral
Main ise hidden-file karne wala tha aur tum YouTube ke baare mein soch rahe ho? SO NOTT! Lol. Hey phone neeche rakho aur zyada swimming karo.,negative
Kaash baarish nahi ho rahi hoti.,neutral
Humein mat chhodo.,positive
Main kho gaya hoon... Main (apne dimaag mein) un ghurti aankhon se bhaag raha hoon.. haha. basically: Headache & aankhon mein dard.,neutral
_ann_cole mujhe lagta hai yeh sahi hai lol... please follow me... much appreciated.,negative
Mujhe pasand hai ki Joan Rivers kehti hai ki Family First.,positive
Happy Mother's Day sabhi moms ko! Love you mom.,positive
"Umeed karta hoon yeh apne aap thik ho jaaye kyunki jo bhi is par lagata hoon, woh aur kharab kar deta hai. Owww.",positive
OMG! Main tumhe blame nahi karta! Umeed hai tumne use zyada hurt nahi kiya.,neutral
Yahaan bhi cloudy aur damp hai. Umeed hai raat ke track meet ke liye baarish nahi hogi Mujein baarish mein interviews karna pasand nahi.,positive
Pados mein ek estate agent mujhe Wham ke saath gaate hue pakad liya.,positive
"Actually, yeh mera cousin ne kiya tha.",neutral
Mera galti thi. Mujhe laga tum aaj ki baat kar rahe ho.,neutral
_lokelani mujhe koi idea nahi!,negative
Britain ****.,neutral
Updating mein problem ho rahi hai!!!,negative
Mera computer ka sound input kyun kaam karna band kar diya? Yeh mic ya jack nahi hai (USB webcam mic bhi kaam nahi kar raha) Input controls check kiye.,negative
Heheh.... qualifying kaafi exciting tha tho..,negative
"I loveeee NY! Breakfast kar raha hoon phir mimis jaane wala hoon, bahut tired hoon! usse miss kar raha hoon ODeeee! Love you.",positive
Main janta hoon! Main abhi unse baat kar ke aaya. Yeh Mill pe ek Giant hole chhod dega. + Regions bhi close ho gaya.,neutral
Bahar garam hai. Andar kaam = double.,neutral
"Good Morning John, haan, karta hoon, lekin diary clash hai aur unfortunately main attend nahi kar sakta!",neutral
Main bahut sorry hoon. Main samajh nahi paata ki kuch logon ko kyu lagta hai ki sabko in cheezon pe unke jaise 'poise' ke saath react karna chahiye.,neutral
"Ek ticket chahiye Gah. Haan tumne mujhe wahan add kiya, reason346.. Dear Elliott ko sunne mein kuch hafton se miss kar raha hoon... overdue..",negative
Nahi unhone nahi kiya!,negative
Baat karni hai jaldi.,neutral
Hi Jonas Brothers tum Argentina aaye the la otra vez.,neutral
_ Mujhe nahi lagta ki koi doosra choice ho sakta hai.,neutral
"Oh Chris, Mr. Raccoon ke liye bahut sorry. Obviously, yeh FEMALE nahi tha, kyunki kisi bhi SPECIES ki female tumhe adore karti. Hugs, Angel.",negative
Raat ke liye ghar par hoon apni mom ke saath time spend kar raha hoon aur study kar raha hoon.,neutral
Main NYC stuff research kar raha hoon.,neutral
Mera chehra aur mere haath. Tragic. Seriously.,neutral
Main bhi Isi wajah se main July mein Cali drive karke ja raha hoon HIN Pleasanton ke liye.,negative
"Later with Jools ka aakhri part dekh raha hoon.. series ka aakhri episode.. sob, cry.",neutral
Man! Main bhookh ko rok nahi pa raha hoon!,negative
My goodness! Main single hota hoon aur **** crazy ho jaata hai! Haha. **** yeh. Mujhe single rehna bahut pasand hai. Main jo chahta hoon karta hoon... holla!,neutral
Mere shirt pe poop hai aur mere iPhone ka screen insanely cracked hai. Daaang.,positive
Better than nodding off jab tum 'IN' ek mein ho LOL.,negative
http://twitpic.com/4wkpl - Widescreen laptop + rotation + comics = Awesome.,neutral
"Haha! Haan, nekkid religion ke liye bahut kuch kaha ja sakta hai.",positive
Lol... Woh waise hi achhi hai jaise woh hai Tumhara weekend kaisa raha?,neutral
Haan! Iska definitely fayda hua... advice ke liye thanks.,positive
Main apne puppies ko miss karta hoon...,positive
yeh Hao Da Za Ji Pa hai?? Mujhe wahan ka khana bahut miss karta hoon??,negative
OMG 17 again... Main isse DVD par zaroor kharidne wala hoon Haan another good movie Aur thanks to my movie buddies :],negative
"Kal raat kaafi mazedaar tha, mujhe nahi lagta main itna hasa hoon kabhi aaj lazy day woop!",positive
Sabse accha weekend tha EVER XXXXXXXXXXXXXXXXXXXXXX.,positive
Man Utd se khel rahe hain. Kick off 19:45. Champions League 2nd leg. lol.,positive
Ghar aane mein khushi ho rahi hai. Kaash main tumhe better feel karwa sakta.,neutral
Yeh din bahut bekaar hai.,positive
"Shayad kuch iPod apps kharid loon baad mein, hmmm...",negative
Wapas ghar ja raha hoon. Main yahaan 10:30 tak hoon.,neutral
O dear! Woh yahan hai! OMGOGMGO.. Tumne dekha nahi ki main tumhe **** karne wala tha..?,neutral
Awesome! kis type ka?,neutral
"Fantastic weekend - hairdressers, stylish luncheons & a Fabulous girlie night with wine, cheeses & chocolates...And dancing till morning.",positive
"Main pizza kha raha hoon, kuch chahiye??? haha...",positive
"Well, main tumhare comment ko greatly appreciate karta hoon. Mera bahut matlab hai. Main dono par kaam kar raha hoon... work in progress, you know.",negative
"Hmmm, main soch raha tha tum so rahe ho!! Bahut bura hai ki main woh videos kal raat tak nahi dekh sakta.",neutral
Haha nice to know main akela nahi hoon! BBC mein kaam kar raha hoon aur dekh nahi sakta.,negative
http://twitpic.com/4fnaa - haha tum dono ladkiyon ko love.,neutral
Twee tweet... lol.,negative
"Sorry , main chili cheese dogged bina tumhare.",neutral
Brittany move ho gayi.,positive
Aaj ka din bekaar hai....,positive
Graduation present photos Facebook par.,positive
Lol thanks!,negative
_Ky_Monkey Umeed hai tumhara din aaj amazing ho Monkey! Tum deserve karte ho! DEW pe cheat mat karna aur THE PICTURE mat dekhna! lol Happy Bday! <3,neutral
Hi mera naam Chelsea hai aur main tumhari opinion ko respect karti hoon jab baat DWTS ki aati hai. Tum wahan bhi great the!,negative
Bed mein lete hue boreddddd purani cookbooks dekh raha hoon naye recipes ke liye.,neutral
"Chloe ka chhota trike thingo par baitha hoon, yeh ek giraffe hai Mujhe agle minute tak daant pad sakti hai! Ohhh well.",neutral
Geometry itni **** boring hai. Time waste.. 20 minutes aur bache hain.,negative
Apna red lighter nahi mil raha jo mujhe Amy ki yaad dilata hai.,positive
Sure main kar loonga....,neutral
Friday night ko akela baitha rehna pasand nahi. big sad old loser.,positive
Good Luck!!! rockin continue karo!,positive
_uppercut woh ek old man wali baat thi.,neutral
Yeh BIG TIME Saturday night hai Canasta khel rahe hain phir ek movie phir... Psych homework? Shiny raho aur sabko love karo!!,negative
_om 'Agar mujhe mere fingernails green paint karni chahiye- oh aur waise hi ho jaata hai main unhe green paint kar doon...' Marvelous.,neutral
Kya tum ek barn mein paida hue the? Tumhe kuch hay chahiye? 8-)(8) YouTube pe mother song search karo.,positive
"Apna Blackberry sadak ke beech se uthaya! Dono, woh aur main crushed hain!",positive
"Mujhe dark red hair dye mil gaya, bleach lene ja raha hoon.",neutral
"London ke tickets Thursday ke liye book kar liye hain, main bahut excited hoon.",neutral
"**Mujhe beach girl bahut pasand hai, aap log amazing ho! England aapko pyar karta hai (: ******",positive
In cheezon ko karne ka intezaar nahi kar sakta,positive
Mujhe lagta hai dono hai Alison.,neutral
Breakfast bana raha hai.,neutral
Shaayad isliye kyunki 3 baje raat hai Monday morning.,neutral
"**Main puri tarah se niraash hoon, aaj meri foot cast mein hai, isliye Nottingham nahi ja sakta tum logon se milne ke liye. ******",negative
"Hydra clients ko yaad dilane ke liye, apna email check karna mat bhoolna zaroori updates ke liye!",neutral
